Posted On,BHK,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Rent
2022-05-12,3.0,1500.0,Ground out of 2,Carpet Area,Bhadrakali,India-> Kolkata,Furnished,Bache?l/ors,2.0,Contact Owner,12000
2022-06-26,1.0,600.0,2 out of 5,,Behala,|-9 Kolkata,Unfurnished,"Bachelors/Fami""l>y",1.0,Contact Owner,5000
,2.0,700.0,,Carpet Area,Baruipur,India-; Kolkata,Semi-Furnished,Bachel*or-s/Family,1.0,Contact Owner,8500
,1.0,300.0,Ground out of 3,,Ballygunge,'-9 Kolkata,,Bachelo{rs/Family@,1.0,Contact Owner,6000
2022-06-06,,,Ground out of 1,Super Area,,>-9 Kolkata,,Fam-il<y,2.0,Contact Owner,10000
2022-05-20,2.0,,3 out of 3,,,India-? Kolkata,,Bach$e>lors,1.0,Contact Owner,4600
2022-07-02,2.0,650.0,Ground out of 1,,"Baishnabghata Patuli Township, Patuli",!-9 Kolkata,Unfurnished,Famil^y@,2.0,Contact Owner,12000
,3.0,2000.0,Ground out of 2,Super Area,Behala,}-9 Kolkata,Semi-Furnished,,2.0,Contact Owner,30000
2022-05-12,,1068.0,Ground out of 3,Super Area,Bansdroni,India-? Kolkata,Semi-Furnished,Bache-lors/Fami*ly,2.0,Contact Owner,15000
2022-06-22,1.0,150.0,1 out of 1,Super Area,Salt Lake City,#-9 Kolkata,Furnished,Bachelor$s/F=amily,1.0,,7500
2022-06-25,1.0 room,450.0,2 out of 2,Carpet Area,New Town,India-$ Kolkata,Unfurnished,,1.0,Contact Owner,7500
2022-07-03,2.0,800.0,Ground out of 1,CARPET AREA,Baruipur,]-9 Kolkata,Unfurnished,Bachelors/Fam&i:ly,1.0,Contact Owner,5000
2022-04-23,2.0,1000.0,Ground out of 2,Super Area,Bansdroni,India-< Kolkata,Unfurnished,Bache}lors/Fa@mily,2.0,Contact Owner,15000
2022-05-14,,900.0,5 out of 5,Super Area,Pancha Sayar,India-} Kolkata,Semi-Furnished,Bachelo|rs<,1.0,Contact Owner,11000
2022-05-27,1.0,600.0,,,Behala,India-> Kolkata,Unfurnished,Bachel-or=s/Family,1.0,Contact Owner,7000
2022-06-19,2.0,1200.0,1 out of 1,Super Area,Hooghly-Chinsurah,India-$ Kolkata,Unfurnished,,1.0,Contact Owner,6000
2022-06-19,2.0,,2 out of 2,Super Area,Hooghly-Chinsurah,India-} Kolkata,Semi-Furnished,Bac&he[lors,2.0,Contact Owner,6000
2022-07-02,2.0,,Ground out of 3,Super Area,"Amtala, Diamond Harbour Road",$-9 Kolkata,Semi-Furnished,,2.0,Contact Owner,7000
2022-07-06,2.0,720.0,4 out of 4,Carpet Area,,India-] Kolkata,Semi-Furnished,,2.0,Contact Owner,8500
2022-07-02,1.0,300.0,1 out of 3,Carpet Area,,]-9 Kolkata,Unfurnished,Bac['helors,1.0,Contact Owner,5000
2022-06-21,3.0,1200.0,Ground out of 2,,VIP Road Haldiram,,Unfurnished,"Bac+helors/Fam,ily",3.0,Contact Agent,30000
2022-06-04,2.0,,7 out of 8,Carpet Area,,,,Ba#@chelors/Family,2.0,,10000
2022-06-24,3.0,2000.0,1 out of 3,Super Area,Naihati,<-9 Kolkata,Semi-Furnished,Ba'chelors>/Family,2.0,Contact Owner,30000
2022-05-14,1.0,,Ground out of 4,Super Area,Baksara,India-: Kolkata,Semi-Furnished,"Bachelor!s/Fam""ily",,,3500
2022-06-26,2.0,1100.0,Ground out of 3,Carpet Area,Naihati,<-9 Kolkata,Unfurnished,Bac!%helors,1.0,Contact Owner,8000
2022-07-02,,,Ground out of 2,Carpet Area,,,Unfurnished,Bachelors/Family((,1.0,Contact Owner,5000
2022-05-05,2.0,,Ground out of 2,Super Area,"Amtala, Diamond Harbour Road",India-@ Kolkata,Semi-Furnished,Bachelors/Fa/mily^,1.0,Contact Owner,7500
2022-05-18,2.0,800.0,Ground out of 2,Carpet Area,"Chak Thakurani, Thakurpukur",--9 Kolkata,Unfurnished,Bachelors/Fami-ly\,1.0,Contact Owner,6500
,1.0,,1 out of 3,Super Area,Jadavpur,India-# Kolkata,Unfurnished,Bachelors/Fam#i.ly,1.0,,7500
2022-06-07,1.0,680.0,Ground out of 2,Super Area,Jadavpur,^-9 Kolkata,Unfurnished,,1.0,Contact Owner,7500
2022-06-26,2.0,,,Carpet Area,Salt Lake City Sector 1,--9 Kolkata,Semi-Furnished,(Bachelo*rs,1.0,Contact Agent,16000
2022-06-26,2.0,850.0,1 out of 2,Carpet Area,Salt Lake City Sector 1,India-+ Kolkata,,,1.0,Contact Agent,16000
2022-05-30,2.0,,Ground out of 2,,,+-9 Kolkata,Unfurnished,Bachel^:ors,1.0,Contact Owner,6500
2022-05-22,3.0,1500.0,,,Beliaghata,India-& Kolkata,Unfurnished,-Bache^lors/Family,,Contact Owner,40000
2022-06-18,2.0,950.0,1 out of 4,Super Area,"Magnolia Prestige, Rajarhat","India-, Kolkata",Semi-Furnished,Bachelors/Fam:il>y,2.0,Contact Owner,12500
2022-06-08,2.0 room,500.0,Ground out of 2,Super Area,"Baishnabghata Patuli Township, Patuli",%-9 Kolkata,,"=Bachelors/Fa""mily",1.0,Contact Owner,5500
,1.0,,2 out of 4,Carpet Area,"Dum Dum Heights, Jessore Road",India-} Kolkata,Semi-Furnished,Bachel\o}rs/Family,1.0,Contact Owner,5000
2022-05-03,2.0,700.0,Ground out of 2,Super Area,Sonarpur,>-9 Kolkata,Unfurnished,Bach=elors*,1.0,Contact Owner,6500
2022-05-12,1.0,,1 out of 2,Super Area,Lake Town,India-( Kolkata,Unfurnished,Bach#elors/Fam?ily,,Contact Owner,8000
,,1800.0,,,Belghoria,India-- Kolkata,Semi-Furnished,Bachel+ors/=Family,2.0,Contact Owner,14500
2022-05-23,1.0,500.0,1 out of 3,Carpet Area,"Rabindra Pally, Keshtopur",India-_ Kolkata,Semi-Furnished,Bachelo.)rs/Family,1.0,Contact Owner,8200
2022-05-23,2.0,480.0,Ground out of 3,Carpet Area,shukhobrishti,@-9 Kolkata,Furnished,Bachelors/F{amily;,,Contact Owner,15000
2022-06-21,6.0,1000.0,1 out of 1,,Sonarpur,India-* Kolkata,Semi-Furnished,Bache)lors/Fami#ly,2.0,Contact Owner,20000
,2.0,800.0,1 out of 2,,"Baishnavghata patuli , house number s-300 Kolkata 700094",(-9 Kolkata,,/Ba#chelors/Family,1.0,Contact Owner,6700
2022-05-27,,435.0,,Super Area,Kasba,.-9 Kolkata,Unfurnished,Bac=helor\s/Family,1.0,Contact Owner,10000
2022-05-07,2.0,700.0,Ground out of 2,Carpet Area,Dum Dum Metro,India-| Kolkata,Semi-Furnished,Bache=l[ors/Family,2.0,,7000
2022-06-25,2.0,800.0,4 out of 4,Super Area,"Hazra, Kalighat",=-9 Kolkata,Furnished,"Bach<elo,rs/Family",,Contact Agent,22000
,2.0,450.0,1 out of 3,Super Area,Ajoy Nagar,India-] Kolkata,,*;Bachelors/Family,1.0,,6500
2022-05-31,2.0,,,Carpet Area,Kasba -East,India-( Kolkata,Semi-Furnished,Bachelors/Fam.il\y,1.0,Contact Agent,8500
,2.0,800.0,,Carpet Area,Salt Lake City,India-@ Kolkata,Unfurnished,B+ach=elors,2.0,Contact Agent,18000
2022-06-27,2.0,550.0,,Carpet Area,,#-9 Kolkata,Semi-Furnished,Fam(il@y,2.0,Contact Owner,12000
,1.0,600.0,2 out of 4,Super Area,,India-+ Kolkata,Furnished,Bachelor_s/{Family,1.0,Contact Owner,9000
2022-06-09,1.0,,Ground out of 1,,"New Garia, Garia",@-9 Kolkata,Unfurnished,Bache_lors/F)amily,1.0,Contact Owner,6000
2022-04-28,2.0,,1 out of 2,,Anandapur,India-[ Kolkata,Furnished,,2.0 Bathrooms,,20000
2022-05-23,1.0,300.0,,Carpet Area,Dum Dum Metro,",-9 Kolkata",Unfurnished,Bachelors/}F<amily,1.0,Contact Owner,5000
2022-06-28,2.0,1200.0,,Super Area,Boral,--9 Kolkata,Furnished,"Bach,elo-rs/Family",,Contact Owner,12000
2022-06-23,,500.0,3 out of 4,Carpet Area,"Rabindra Pally, Keshtopur","India-"" Kolkata",Semi-Furnished,Bach^elors/Fam/ily,1.0,Contact Owner,10000
2022-04-29,,1200.0,1 out of 2,Super Area,Bagbazar,+-9 Kolkata,Unfurnished,,2.0,Contact Owner,18000
2022-06-13,2.0,,1 out of 2,Carpet Area,Salt Lake City Sector 1,(-9 Kolkata,Semi-Furnished,Bachelors/F{am{ily,2.0,Contact Agent,15000
,3.0,1300.0,,Carpet Area,,India-- Kolkata,Unfurnished,"B}achelors/Fami,ly",,,22000
2022-06-13,4.0,,1 out of 5,,Salt Lake City Sector 3,,Unfurnished,Bachel!ors/Family},3.0,Contact Agent,35000
,3.0,1450.0,Ground out of 1,,Ajoy Nagar,/-9 Kolkata,,,,,21000
2022-07-06,2.0,1100.0,2 out of 2,Super Area,"Action Area 1, Rajarhat Newtown",_-9 Kolkata,Furnished,"Ba-che""lors",,Contact Agent,25000
,2.0,,,Carpet Area,"Avenue S, Santoshpur",_-9 Kolkata,Unfurnished,?Bach+elors/Family,2.0,Contact Owner,180000
2022-06-06,1.0,,,,Pratiraksha Nagar,,Unfurnished,Bac&helor+s/Family,1.0,Contact Owner,6000
2022-07-04,2.0,700.0,Ground out of 2,Carpet Area,"Kudghat, Ashok Nagar",India-_ Kolkata,Unfurnished,Bach|elors/Fam[ily,2.0,Contact Owner,14000
2022-05-15,3.0,750.0,Ground out of 2,Super Area,,"India-"" Kolkata",Unfurnished,Fa>\mily,1.0,Contact Owner,8000
2022-05-04,,1000.0,Ground out of 1,Super Area,"Purbasan, Thakurpukur",India-: Kolkata,,Bachel'ors/F{amily,1.0,Contact Owner,8000
2022-04-25,1.0,220.0,Ground out of 2,Super Area,"Bidhan Pally, Bansdroni",,Furnished,Bache^lors/;Family,1.0,Contact Owner,6000
2022-05-21,1.0,300.0,1 out of 3,Carpet Area,"Naktala, Garia",India-? Kolkata,Semi-Furnished,B!achelor%s,1.0,Contact Agent,8000
2022-06-27,,300.0,Ground out of 1,CARPET AREA,Tiljala Road,,Unfurnished,"Bache=lors/Fami""ly",1.0,,6000
2022-07-02,1.0,,,Super Area,Sankaritola,?-9 Kolkata,Semi-Furnished,Bachelo}rs/Fa_mily,1.0,Contact Owner,20000
,3.0,800.0,Ground out of 1,Super Area,"Parnashree Lake, Behala",India-% Kolkata,Unfurnished,,2.0,Contact Owner,12000
,3.0,1600.0,,Super Area,Garia,^-9 Kolkata,Unfurnished,Bachelo=rs:/Family,2.0,Contact Owner,15000
2022-05-15,,1000.0,,,Kasba,+-9 Kolkata,Unfurnished,Bac|helors/Fami{ly,2.0,Contact Owner,14000
2022-05-30,1.0,20.0,2 out of 3,Super Area,Dakshineswar,)-9 Kolkata,Unfurnished,Bache$lors/Famil@y,1.0,Contact Owner,5000
2022-06-10,2.0,400.0,Ground out of 2,Carpet Area,chatana,*-9 Kolkata,Unfurnished,Bac*he{lors/Family,1.0,Contact Owner,7000
2022-06-23,,200.0,2 out of 2,,Shyam Bazar,'-9 Kolkata,Furnished,;Bachelors$/Family,1.0,Contact Owner,3900
2022-06-09,3.0,840.0,1 out of 4,Carpet Area,Mukundapur,%-9 Kolkata,,Bac|.helors,2.0,Contact Owner,14000
,1.0,300.0,,Carpet Area,Salt Lake City Sector 5,India-& Kolkata,Unfurnished,Bachelors]/Fa;mily,1.0,Contact Agent,6300
,,550.0,1 out of 2,Carpet Area,Salt Lake City Sector 5,$-9 Kolkata,Furnished,=Bachelors&/Family,,Contact Agent,13000
2022-07-03,1.0,,1 out of 2,,Salt Lake City Sector 5,India-( Kolkata,Unfurnished,_Bach]elors/Family,1.0,Contact Agent,6800
2022-05-14,2.0,800.0,1 out of 1,,Behala Chowrasta,,Unfurnished,"*Bachelors/Fami""ly",2.0,Contact Owner,8000
2022-05-10,2.0,740.0,Ground out of 6,Carpet Area,Sonarpur,,Unfurnished,Bach*elors&,1.0,Contact Owner,10000
2022-04-25,2.0,1300.0,1 out of 1,Super Area,Santoshpur,!-9 Kolkata,Unfurnished,Bac)helors!/Family,2.0,Contact Owner,18000
2022-06-13,2.0,,Ground out of 1,Super Area,"Garia Station, Garia","India-, Kolkata",Semi-Furnished,Bachelors/=^Family,1.0,Contact Owner,8000
2022-05-06,2.0,490.0,1 out of 1,SUPER AREA,Entally,<-9 Kolkata,,Bachelors/Fa?mily?,,Contact Owner,8000
2022-06-08,1.0,250.0,2 out of 2,Super Area,,India-_ Kolkata,Furnished,Bache|lor/s/Family,1.0,Contact Owner,4700
2022-06-08,1.0,250.0,Ground out of 1,Super Area,"Dash Drone, Rajarhat Newtown",)-9 Kolkata,Furnished,"Ba{chelors""/Family",1.0,Contact Owner,4700
2022-05-06,1.0,450.0,1 out of 2,,"Rabindra Pally, Keshtopur",+-9 Kolkata,Unfurnished,Bachelors/Fami$l!y,1.0,,4500
2022-06-30,,300.0,Ground out of 1,Carpet Area,Salt Lake City Sector 1,(-9 Kolkata,Semi-Furnished,"B,achelors/Fami>ly",1.0,Contact Owner,6000
2022-06-24,2.0,750.0,1 out of 3,,"Rajdanga Gardens, Kasba",?-9 Kolkata,Unfurnished,Bachelors/Fami}]ly,2.0,Contact Owner,16000
2022-07-01,1.0,,1 out of 2,Super Area,,India-= Kolkata,,Bach|elors/Fami%ly,1.0,,4700
2022-06-17,,,,Carpet Area,,India-< Kolkata,Unfurnished,Ba#ch-elors,1.0,Contact Owner,14000
2022-06-26,,900.0,Ground out of 2,Carpet Area,Lake Town,India-. Kolkata,Semi-Furnished,Bachelors!-,1.0,,9000
2022-06-23,,400.0,1 out of 3,Carpet Area,,,Semi-Furnished,Bachelors/F?amil$y,1.0,,5000
2022-06-13,2.0,1000.0,Ground out of 2,Carpet Area,Salt Lake City,India-; Kolkata,Semi-Furnished,B(achelors/Fa@mily,2.0,Contact Agent,17500
,2.0,,Ground out of 1,Carpet Area,South Baksara,%-9 Kolkata,Unfurnished,Bache;l'ors/Family,1.0,Contact Owner,8500
2022-05-26,3.0,1500.0,1 out of 1,Carpet Area,,?-9 Kolkata,Semi-Furnished,+Fami|ly,,,15000
2022-04-25,2.0,750.0,1 out of 3,,"Sukhpally, Haltu",|-9 Kolkata,Unfurnished,"Bachelors/F,a^mily",2.0,Contact Owner,12500
2022-05-11,1.0,1200.0,2 out of 4,Super Area,Kasba,India-' Kolkata,Semi-Furnished,Bach^+elors/Family,1.0,,13000
2022-05-06,2.0,700.0,Ground out of 1,Super Area,"Sakher Bazar, Purba Barisha",^-9 Kolkata,Unfurnished,,1.0,Contact Owner,8000
2022-05-10,,700.0,4 out of 4,CARPET AREA,Garia Dhalua Nabapally,}-9 Kolkata,Furnished,,,Contact Owner,8000
2022-05-21,2.0,1000.0,Ground out of 2,,"Chinar Park, Rajarhat",)-9 Kolkata,Semi-Furnished,Bache>lo%rs/Family,1.0,Contact Owner,8000
2022-06-12,2.0,1200.0,1 out of 3,Super Area,Konnagar,/-9 Kolkata,,Bache.l[ors/Family,2.0,Contact Owner,7000
2022-06-05,,550.0,2 out of 3,,Behala silpara,(-9 Kolkata,Furnished,B#achelors/Fam|ily,1.0,Contact Owner,2200
2022-06-25,2.0,800.0,Ground out of 4,Carpet Area,Vip Road,*-9 Kolkata,Unfurnished,Bache?+lors,1.0,Contact Owner,8000
2022-06-11,2.0,280.0,1 out of 3,,New Barrakpur,India-+ Kolkata,Unfurnished,B{achelo+rs,1.0,Contact Owner,5500
2022-07-04,3.0,1100.0,Ground out of 2,Super Area,"Thakurpukur, Kolkata",,Unfurnished,B?achelors/Family},3.0,,20000
2022-05-10,2.0,,Ground out of 2,Super Area,Kaikhali,,Unfurnished,,,Contact Agent,7000
2022-05-13,1.0,250.0,1 out of 2,Super Area,"Phool Bagan, Kankurgachi",India-^ Kolkata,,B-achelo^rs/Family,1.0,Contact Owner,3500
2022-05-10,2.0,1000.0,Ground out of 2,Carpet Area,,,Unfurnished,Bachelors@@,1.0,Contact Owner,5000
2022-06-30,,,,,,India-* Kolkata,,Bachelo;r!s/Family,,Contact Owner,20000
2022-05-27,2.0,,Ground out of 2,Super Area,,--9 Kolkata,Unfurnished,Ba}chelo.rs/Family,1.0,Contact Owner,7000
2022-06-08,2.0,700.0,1 out of 2,Super Area,Benia Pukur,#-9 Kolkata,Unfurnished,,2.0,Contact Owner,10000
2022-05-15,2.0,700.0,Ground out of 3,Carpet Area,Baguiati,,Unfurnished,Ba/chel+ors,1.0,Contact Owner,7000
2022-06-29,,1000.0,Ground out of 3,Super Area,E M Bypass,--9 Kolkata,Semi-Furnished,Bachelors/>Fami&ly,2.0,Contact Owner,12000
2022-05-13,,900.0,1 out of 4,Carpet Area,"Panchanan Tola, Thakurpukur",India-? Kolkata,Unfurnished,B&ach-elors,2.0,Contact Owner,14500
2022-05-25,1.0,700.0,,Super Area,"VIP Nagar, E M Bypass",India-| Kolkata,Unfurnished,,1.0,Contact Owner,6000
,2.0,700.0,1 out of 2,Super Area,,India-( Kolkata,Unfurnished,Ba|chelors/F>amily,,Contact Owner,9500
2022-06-27,2.0,450.0,,Carpet Area,Behala,,Semi-Furnished,;Bachelors/F%amily,2.0,Contact Owner,10000
2022-05-06,1.0,120.0,Ground out of 3,Super Area,Dum Dum Cantonment,$-9 Kolkata,Unfurnished,";""Bachelors/Family",1.0,Contact Owner,3500
2022-06-01,2.0,800.0,,Super Area,"New Garia, Garia",$-9 Kolkata,Semi-Furnished,}Bachelors//Family,2.0,Contact Owner,9000
,3.0,1220.0,2 out of 3,Carpet Area,Salt Lake City Sector 3,;-9 Kolkata,Unfurnished,;Bachelors/Fa+mily,2.0,Contact Owner,40000
2022-06-23,,1100.0,Ground out of 3,Super Area,Mominpur,$-9 Kolkata,,B#achelors/?Family,1.0,Contact Owner,16500
2022-06-12,3.0,700.0,,Carpet Area,"Halisahar Station Road, Kanchrapara",India-| Kolkata,Unfurnished,Fa_mi=ly,2.0,Contact Owner,8000
2022-05-10,2.0,800.0,,Super Area,Santoshpur,$-9 Kolkata,Furnished,Bache&lor#s/Family,1.0,Contact Owner,12000
2022-06-27,2.0,670.0,2 out of 2,,"Dunlop, Dakshineswar, Belgharia Expressway",India-# Kolkata,,F]amily\,1.0,,6500
2022-04-30,4.0,1300.0,1 out of 2,Super Area,Ballygunge,,Unfurnished,B\achelor!s/Family,,Contact Owner,40000
2022-05-06,1.0,,Ground out of 2,Super Area,Baguihati,India-# Kolkata,Semi-Furnished,Bac/helors/Fam|ily,1.0,Contact Owner,5000
2022-05-24,2.0,700.0,,Super Area,Kabardanga,,,Bachelo;rs/Family^,1.0,Contact Owner,9000
,1.0,240.0,,,Jadavpur,India-= Kolkata,Unfurnished,#.Bachelors,1.0,Contact Owner,7000
2022-05-19,2.0,850.0,2 out of 4,Carpet Area,Behala Chowrasta,,Semi-Furnished,Family^+,1.0,Contact Owner,18000
2022-05-26,1.0,950.0,1 out of 2,Super Area,Haltu,,Unfurnished,!Bachelors/Fa*mily,2.0,Contact Owner,9000
2022-06-11,1.0,450.0,1 out of 2,Carpet Area,Botanical Garden Area,India-: Kolkata,Furnished,B}ac^helors/Family,,Contact Owner,5500
2022-06-08,2.0,800.0,Ground out of 2,,Bonhooghly,:-9 Kolkata,Unfurnished,,1.0,Contact Owner,7500
2022-07-02,2.0,600.0,1 out of 2,Carpet Area,Nilgung Old Bazar,India-{ Kolkata,Unfurnished,B#achel<ors/Family,1.0,Contact Owner,4000
,3.0,800.0,,Carpet Area,"Teghoria, Baguiati",/-9 Kolkata,Unfurnished,Bachel}ors^,2.0,Contact Owner,10500
2022-07-03,3.0,,Ground out of 2,Carpet Area,Survey Park,India-/ Kolkata,Unfurnished,Bachelors/F&amil|y,2.0,Contact Owner,15000
2022-06-16,2.0,800.0,,Carpet Area,Baguiati,India-? Kolkata,Furnished,Bach{elo$rs/Family,1.0,Contact Owner,15000
2022-05-13,,2200.0,2 out of 5,Super Area,Kanchrapara,,Furnished,,,Contact Owner,50000
2022-06-08,2.0,950.0,,Carpet Area,"Jote Shibrampur, Joth Shibrampur",India-< Kolkata,Unfurnished,Bachelors&#,2.0,Contact Owner,12000
2022-04-25,2.0,550.0,2 out of 3,Carpet Area,Ultadanga,"India-, Kolkata",Unfurnished,Bachelo}rs/Fam?ily,1.0,Contact Owner,11000
2022-06-04,2.0,1800.0,1 out of 1,Carpet Area,Birati,,Unfurnished,B$!achelors,2.0,Contact Owner,12000
2022-05-11,2.0,1000.0,Ground out of 2,Super Area,"Chinar Park, Rajarhat",,,Bach*elors%/Family,,Contact Owner,8000
2022-05-27,2.0,600.0,Ground out of 3,Super Area,Bagha Jatin Pally,@-9 Kolkata,Semi-Furnished,Bachelo#r[s/Family,2.0,Contact Owner,18000
2022-04-24,2.0,750.0,2 out of 4,Carpet Area,rishi aurobindo sarani neat NIOH hospital,*-9 Kolkata,Semi-Furnished,B<ach%elors/Family,,Contact Owner,8000
2022-05-10,2.0,685.0,2 out of 3,SUPER AREA,Dum Dum Metro,}-9 Kolkata,Unfurnished,Bache+lors/Famil_y,1.0,Contact Agent,7000
2022-05-24,1.0,44.0,,Carpet Area,Baranagar,India-[ Kolkata,Furnished,&\Bachelors/Family,1.0,Contact Owner,6500
,4.0,1200.0,Ground out of 2,,Tollygunge,India-= Kolkata,Unfurnished,)Bachelors&/Family,1.0,Contact Owner,13000
2022-05-05,2.0,500.0,Ground out of 2,,Airport Near Gate No. 21/2,India-< Kolkata,Unfurnished,Bac?.helors,1.0,Contact Owner,9000
2022-04-29,4.0,,2 out of 2,Carpet Area,Purbasa,,Unfurnished,?Bache>lors/Family,2.0,Contact Owner,10000
,2.0,,1 out of 3,Super Area,Jadavpur,India-; Kolkata,Unfurnished,Bachelors/Fam=ily*,2.0,Contact Owner,12000
